,nivel satisfacción,última evaluación,número proyectos,horas mensuales promedio,años en la empresa,accidente laboral,se fue,promoción últimos 5 años,departamento,salario,región
121,0.4,0.46,2,135,3,0,1,0,technical,low,India
122,0.75,1.0,4,216,6,0,1,0,technical,low,Colombia
123,0.11,0.84,6,300,5,1,1,0,support,low,Colombia
124,0.46,0.49,2,138,3,0,1,0,support,low,Reino Unido
125,0.11,0.92,6,260,4,0,1,0,support,low,India
126,0.38,0.49,2,132,3,0,1,0,support,low,Reino Unido
127,0.7,0.89,3,183,5,0,1,0,support,low,Reino Unido
128,0.09,0.82,6,250,4,0,1,0,support,low,India
129,0.37,0.45,2,151,3,0,1,0,support,low,Reino Unido
130,0.1,0.83,6,292,4,0,1,0,support,low,Colombia
131,0.38,0.57,2,140,3,0,1,0,support,low,Colombia
132,0.9,1.0,5,221,5,0,1,0,support,low,India
133,0.44,0.51,2,138,3,0,1,0,support,low,India
134,0.36,0.5,2,132,3,0,1,0,technical,low,Colombia
135,0.31,0.84,7,133,5,0,1,0,technical,low,Colombia
136,0.1,0.84,6,283,4,1,1,0,technical,low,Colombia
137,0.42,0.48,2,129,3,0,1,0,management,low,Reino Unido
138,0.74,1.0,4,249,5,0,1,0,IT,low,Reino Unido
139,0.73,0.87,5,257,5,0,1,0,IT,low,India
140,0.09,0.96,6,245,4,0,1,0,IT,low,India
141,0.45,0.53,2,155,3,0,1,0,IT,low,Reino Unido
142,0.11,0.8,6,256,4,0,1,0,IT,low,India
143,0.37,0.47,2,152,3,0,1,0,product_mng,low,Reino Unido
144,0.84,0.99,4,267,5,0,1,0,product_mng,low,Colombia
145,0.41,0.46,2,151,3,0,1,0,product_mng,low,India
146,0.76,0.92,4,239,5,0,1,0,product_mng,low,Colombia
147,0.11,0.87,6,306,4,0,1,0,IT,low,Reino Unido
148,0.84,0.88,4,263,5,1,1,0,marketing,low,Reino Unido
149,0.39,0.5,2,147,3,0,1,0,marketing,low,Colombia
150,0.11,0.91,6,278,4,0,1,0,marketing,low,India
151,0.45,0.56,2,154,3,0,1,0,marketing,low,Colombia
152,0.37,0.52,2,143,3,0,1,0,marketing,low,India
153,0.4,0.52,2,155,3,0,1,0,marketing,low,India
154,0.39,0.48,2,160,3,0,1,0,sales,low,Reino Unido
155,0.11,0.8,6,304,4,0,1,0,accounting,low,Colombia
156,0.83,1.0,5,240,5,0,1,0,support,low,Colombia
157,0.11,0.92,6,305,4,0,1,0,technical,low,Reino Unido
158,0.39,0.5,2,136,3,0,1,0,management,low,Colombia
159,0.45,0.45,2,132,3,0,1,0,marketing,low,India
160,0.1,0.95,7,301,4,0,1,0,marketing,low,India
161,0.9,0.98,5,243,6,0,1,0,marketing,low,India
162,0.45,0.51,2,147,3,0,1,0,sales,low,Colombia
163,0.79,0.89,5,239,5,0,1,0,sales,low,Reino Unido
164,0.9,0.99,5,260,5,0,1,0,sales,low,Reino Unido
165,0.11,0.84,7,296,4,0,1,0,sales,low,Reino Unido
166,0.43,0.55,2,129,3,0,1,0,sales,low,Reino Unido
167,0.31,0.54,5,132,5,0,1,0,sales,low,Colombia
168,0.32,0.5,2,135,5,0,1,0,sales,low,Colombia
169,0.45,0.57,2,158,3,0,1,0,sales,low,India
170,0.81,0.99,4,259,5,0,1,0,sales,low,India
171,0.41,0.46,2,160,3,0,1,1,sales,low,India
172,0.11,0.78,7,278,4,0,1,0,sales,low,India
173,0.1,0.88,6,284,4,0,1,0,sales,low,Reino Unido
174,0.7,0.53,2,274,4,0,1,0,sales,low,Colombia
175,0.54,0.74,4,164,2,0,1,0,sales,low,Colombia
176,0.41,0.48,2,148,3,0,1,0,sales,low,Colombia
177,0.38,0.5,2,140,3,0,1,0,sales,medium,Colombia
178,0.37,0.51,2,127,3,0,1,0,sales,medium,Reino Unido
179,0.11,0.85,6,308,5,0,1,0,sales,medium,Colombia
180,0.4,0.47,2,146,3,0,1,0,sales,medium,India
181,0.1,0.84,6,261,4,0,1,0,accounting,medium,India
182,0.89,0.99,5,257,5,0,1,0,accounting,medium,India
183,0.11,0.8,6,285,4,0,1,0,accounting,medium,Reino Unido
184,0.36,0.55,2,141,3,0,1,0,hr,medium,India
185,0.4,0.46,2,127,3,0,1,0,hr,medium,India
186,0.09,0.85,6,297,4,0,1,0,hr,medium,Colombia
187,0.4,0.46,2,143,3,0,1,0,hr,medium,Colombia
188,0.37,0.55,2,152,3,0,1,0,technical,medium,Reino Unido
189,0.44,0.51,2,156,3,0,1,0,technical,high,India
190,0.09,0.8,7,283,5,0,1,0,technical,low,India
191,0.92,0.87,4,226,6,1,1,0,technical,medium,Colombia
192,0.74,0.91,4,232,5,0,1,0,technical,medium,India
193,0.09,0.82,6,249,4,0,1,0,technical,medium,India
194,0.89,0.95,4,275,5,0,1,0,technical,medium,Reino Unido
195,0.09,0.8,6,304,4,0,1,0,technical,low,India
196,0.27,0.54,7,278,3,0,1,0,technical,low,India
197,0.1,0.91,6,287,4,0,1,0,technical,low,India
198,0.1,0.89,7,285,4,0,1,0,technical,low,Colombia
199,0.77,0.94,5,226,6,0,1,0,support,low,Colombia
200,0.9,0.82,5,259,5,0,1,0,support,low,India
201,0.39,0.5,2,135,3,0,1,0,support,low,Colombia
202,0.76,1.0,5,219,5,0,1,0,support,low,Reino Unido
203,0.1,0.93,6,256,4,0,1,0,support,low,India
204,0.87,0.9,5,254,6,0,1,0,support,low,Reino Unido
205,0.38,0.5,2,153,3,0,1,0,support,low,India
206,0.77,0.99,5,228,5,0,1,0,support,low,India
207,0.78,0.87,4,228,5,0,1,0,support,low,India
208,0.44,0.5,2,128,3,0,1,0,support,low,Reino Unido
209,0.38,0.52,2,153,3,0,1,0,support,low,Reino Unido
210,0.43,0.46,2,156,3,0,1,0,technical,low,India
211,0.39,0.5,4,294,3,0,1,0,technical,low,India
212,0.88,1.0,5,219,5,0,1,0,technical,low,Colombia
213,0.45,0.46,2,153,3,0,1,0,management,low,Reino Unido
214,0.4,0.53,2,151,3,0,1,0,IT,low,Reino Unido
215,0.36,0.51,2,155,3,0,1,0,IT,low,India
216,0.36,0.48,2,158,3,0,1,0,IT,low,India
217,0.9,0.98,5,245,5,0,1,0,IT,low,Colombia
218,0.43,0.53,2,131,3,0,1,0,IT,low,Colombia
219,0.89,0.87,5,225,5,0,1,0,product_mng,low,Colombia
220,0.1,0.84,6,286,4,0,1,0,product_mng,low,Colombia
221,0.37,0.5,2,135,3,0,1,0,product_mng,low,Colombia
222,0.37,0.51,2,153,3,0,1,0,product_mng,low,India
223,0.87,0.9,5,252,5,0,1,0,IT,low,Colombia
224,0.4,0.56,2,149,3,0,1,0,accounting,low,Reino Unido
225,0.9,0.97,4,258,5,0,1,0,accounting,low,Colombia
226,0.37,0.46,2,158,3,0,1,0,hr,low,Colombia
227,0.44,0.54,2,149,3,0,1,0,hr,low,Reino Unido
228,0.85,0.95,5,236,5,0,1,0,hr,low,India
229,0.78,0.98,5,239,6,0,1,0,marketing,low,Colombia
230,0.42,0.47,2,159,3,0,1,0,marketing,low,Colombia
231,0.92,0.99,5,255,6,0,1,0,sales,low,Colombia
232,0.11,0.83,6,244,4,0,1,0,accounting,low,Reino Unido
233,0.42,0.56,2,134,3,0,1,0,support,low,India
234,0.48,0.57,4,270,4,0,1,0,technical,low,India
235,0.83,0.85,4,255,5,0,1,0,management,low,Reino Unido
236,0.4,0.53,2,151,3,0,1,0,marketing,low,Reino Unido
237,0.43,0.45,2,135,3,0,1,0,marketing,low,India
238,0.43,0.53,2,146,3,0,1,0,marketing,low,Colombia
239,0.1,0.97,7,254,4,0,1,0,sales,low,India
240,0.1,0.87,7,289,4,0,1,0,sales,low,Reino Unido
241,0.37,0.46,2,156,3,0,1,0,sales,low,India
242,0.38,0.53,2,156,3,0,1,0,sales,low,Colombia
243,0.4,0.5,2,128,3,0,1,0,sales,low,Reino Unido
244,0.89,0.86,5,275,5,0,1,0,sales,low,India
245,0.45,0.46,2,155,3,0,1,0,sales,low,India
246,0.37,0.48,2,159,3,0,1,0,sales,low,India
247,0.46,0.49,2,148,3,0,1,0,sales,low,Reino Unido
248,0.87,0.91,4,228,5,0,1,0,sales,low,Colombia
249,0.11,0.84,6,298,4,0,1,0,sales,low,Reino Unido
250,0.79,0.87,5,261,5,0,1,0,sales,low,Reino Unido
251,0.79,0.92,5,254,6,0,1,0,sales,low,Colombia
252,0.19,0.59,7,192,3,0,1,0,sales,low,Colombia
253,0.87,0.98,4,248,5,0,1,0,sales,low,Reino Unido
254,0.6,0.92,2,258,5,0,1,0,sales,low,India
255,0.44,0.45,2,156,3,0,1,0,sales,medium,Colombia
256,0.11,0.81,6,266,4,1,1,0,sales,medium,Reino Unido
257,0.42,0.54,2,156,3,0,1,0,sales,medium,Reino Unido
258,0.88,0.88,5,232,5,1,1,0,accounting,medium,India
259,0.11,0.84,6,287,4,0,1,0,accounting,medium,Colombia
260,0.46,0.46,2,154,3,0,1,0,accounting,medium,India
261,0.82,0.97,5,263,5,0,1,0,hr,medium,India
262,0.44,0.56,2,131,3,0,1,0,hr,medium,Reino Unido
263,0.11,0.78,6,260,4,0,1,0,hr,medium,India
264,0.42,0.5,2,139,3,0,1,0,hr,medium,Colombia
265,0.84,0.93,4,251,5,0,1,0,technical,medium,Colombia
266,0.11,0.95,6,286,4,0,1,0,technical,medium,Colombia
267,0.45,0.53,2,129,3,0,1,0,technical,high,India
268,0.38,0.56,2,156,3,0,1,0,technical,low,India
269,0.38,0.86,6,139,6,0,1,0,technical,medium,Reino Unido
270,0.44,0.51,2,127,3,0,1,0,technical,medium,Reino Unido
271,0.11,0.84,6,251,4,0,1,0,technical,medium,Colombia
272,0.81,0.93,5,270,5,0,1,0,technical,medium,Colombia
273,0.09,0.96,6,296,4,0,1,0,technical,low,Colombia
274,0.11,0.9,6,254,4,0,1,0,technical,low,Reino Unido
275,0.81,0.95,5,238,6,0,1,0,technical,low,Colombia
276,0.1,0.97,6,267,4,1,1,0,support,low,India
277,0.74,0.89,5,229,6,0,1,0,support,low,Colombia
278,0.09,0.78,6,254,4,0,1,0,support,low,India
279,0.82,0.81,4,233,4,1,1,0,support,low,Colombia
280,0.1,0.98,6,268,4,0,1,0,support,low,Colombia
281,0.27,0.56,3,301,3,0,1,0,support,low,Colombia
282,0.83,0.92,5,267,6,0,1,0,support,low,India
283,0.1,0.93,6,289,4,1,1,0,support,low,Reino Unido
284,0.38,0.47,2,144,3,0,1,0,support,low,Colombia
285,0.4,0.56,2,148,3,0,1,0,support,low,Reino Unido
286,0.11,0.83,6,306,4,0,1,0,support,low,Reino Unido
287,0.11,0.79,6,292,4,0,1,1,technical,low,India
288,0.82,0.91,5,232,5,0,1,0,technical,low,Colombia
289,0.36,0.48,2,137,3,0,1,0,technical,low,India
290,0.4,0.46,2,128,3,0,1,0,management,low,Colombia
291,0.87,0.84,5,231,5,0,1,0,IT,low,India
292,0.41,0.49,2,146,3,0,1,0,IT,low,Reino Unido
293,0.11,0.91,6,308,4,1,1,0,IT,low,Colombia
294,0.1,0.93,6,253,4,0,1,0,IT,medium,India
295,0.38,0.51,2,146,3,0,1,0,IT,medium,India
296,0.39,0.55,2,156,3,0,1,0,product_mng,medium,India
297,0.4,0.52,2,147,3,0,1,0,product_mng,medium,India
298,0.45,0.48,2,136,3,0,1,0,product_mng,medium,Colombia
299,0.74,0.84,5,249,5,0,1,0,product_mng,medium,Colombia
300,0.45,0.55,2,151,3,0,1,0,IT,medium,India
301,0.12,1.0,3,278,4,0,1,0,RandD,medium,India
302,0.1,0.77,7,250,5,0,1,0,RandD,medium,Colombia
303,0.37,0.55,2,127,3,0,1,0,RandD,medium,India
304,0.89,0.87,5,255,5,0,1,0,RandD,medium,India
305,0.45,0.47,2,135,3,0,1,0,RandD,medium,India
306,0.37,0.46,2,149,3,0,1,0,marketing,high,India
307,0.11,0.81,5,287,4,0,1,0,sales,low,India
308,0.41,0.48,2,145,3,0,1,0,accounting,medium,India
309,0.1,0.94,6,285,4,0,1,0,support,medium,Colombia
310,0.1,0.93,7,305,4,0,1,0,technical,medium,Colombia
311,0.11,0.95,7,300,4,0,1,0,management,medium,Reino Unido
312,0.4,0.54,2,139,3,0,1,0,marketing,low,Colombia
313,0.41,0.49,2,130,3,0,1,0,marketing,low,Reino Unido
314,0.1,0.81,6,268,4,0,1,0,marketing,low,Reino Unido
315,0.73,0.86,4,245,6,0,1,0,sales,low,Colombia
316,0.43,0.47,2,135,3,0,1,0,sales,low,India
317,0.37,0.46,2,153,3,0,1,0,sales,low,Reino Unido
318,0.11,0.94,6,276,4,0,1,0,sales,low,Colombia
319,0.4,0.46,2,130,3,0,1,0,sales,low,Colombia
320,0.41,0.54,2,153,3,1,1,0,sales,low,Colombia
321,0.82,0.84,5,244,5,0,1,0,sales,low,Reino Unido
322,0.61,0.47,2,253,3,0,1,0,sales,low,Colombia
323,0.11,0.91,7,287,4,0,1,0,sales,low,Reino Unido
324,0.37,0.45,2,131,3,0,1,0,sales,low,Colombia
325,0.41,0.52,2,135,3,0,1,0,sales,low,Colombia
326,0.37,0.52,2,157,3,0,1,0,sales,low,India
327,0.88,0.99,5,262,6,0,1,0,sales,low,Reino Unido
328,0.1,0.85,6,266,4,0,1,0,sales,low,Reino Unido
329,0.44,0.48,2,148,3,0,1,0,sales,low,India
330,0.38,0.57,2,140,3,0,1,0,sales,low,Colombia
331,0.11,0.85,7,302,4,0,1,0,sales,low,Reino Unido
332,0.09,0.98,6,271,4,0,1,0,sales,low,Colombia
333,0.45,0.52,2,145,3,0,1,0,sales,medium,Reino Unido
334,0.1,0.81,6,290,4,0,1,0,accounting,medium,Colombia
335,0.45,0.47,2,151,3,0,1,0,accounting,medium,Reino Unido
336,0.77,0.87,5,266,5,0,1,0,accounting,medium,Reino Unido
337,0.44,0.51,2,140,3,0,1,0,hr,medium,Colombia
338,0.39,0.5,2,142,3,0,1,0,hr,medium,Reino Unido
339,0.1,0.91,6,246,4,0,1,0,hr,medium,Colombia
340,0.09,0.89,7,308,5,0,1,0,hr,medium,Colombia
341,0.37,0.47,2,141,3,0,1,0,technical,medium,Colombia
342,0.9,1.0,5,232,5,0,1,0,technical,medium,India
343,0.41,0.56,2,143,3,0,1,0,technical,medium,Reino Unido
344,0.37,0.52,2,155,3,0,1,0,technical,medium,Reino Unido
345,0.1,0.86,6,278,4,0,1,0,technical,high,Reino Unido
346,0.81,1.0,4,253,5,0,1,0,technical,low,India
347,0.11,0.8,6,282,4,0,1,0,technical,medium,India
348,0.11,0.84,7,264,4,0,1,0,technical,medium,Colombia
349,0.4,0.46,2,149,3,0,1,0,technical,medium,Reino Unido
350,0.09,0.8,6,304,5,0,1,0,technical,medium,India
351,0.48,0.93,3,219,6,0,1,0,technical,low,Colombia
352,0.91,0.91,4,262,6,0,1,0,support,low,Reino Unido
353,0.43,0.57,2,135,3,0,1,0,support,low,India
354,0.33,0.88,6,219,5,0,1,0,support,low,Reino Unido
355,0.41,0.57,2,136,3,0,1,0,support,low,Colombia
356,0.41,0.55,2,154,3,0,1,0,support,low,Colombia
357,0.37,0.54,2,149,3,0,1,0,support,low,Colombia
358,0.31,0.62,6,135,5,0,1,0,support,low,Reino Unido
359,0.09,0.91,6,275,4,0,1,0,support,low,Colombia
360,0.1,0.87,6,290,4,0,1,0,support,low,Reino Unido
361,0.76,0.9,4,263,5,0,1,0,support,low,India
362,0.41,0.54,2,145,3,0,1,0,support,low,India
363,0.72,0.96,5,267,5,0,1,0,technical,low,India
364,0.4,0.5,2,141,3,1,1,0,technical,low,Colombia
365,0.91,0.87,4,235,5,0,1,0,technical,low,India
366,0.1,0.83,6,258,4,0,1,0,management,low,India
367,0.4,0.56,2,131,3,0,1,0,IT,low,India
368,0.82,0.86,5,243,5,0,1,0,IT,low,Colombia
369,0.1,0.82,6,266,4,0,1,0,IT,low,Colombia
370,0.37,0.45,2,142,3,0,1,0,IT,low,India
371,0.36,0.51,2,135,3,0,1,0,IT,low,India
372,0.39,0.48,2,141,3,0,1,0,product_mng,medium,Reino Unido
373,0.36,0.57,2,142,3,0,1,0,product_mng,medium,Colombia
374,0.86,0.84,5,254,5,0,1,0,product_mng,medium,Colombia
375,0.73,0.99,5,262,5,0,1,0,product_mng,medium,Colombia
376,0.56,0.71,4,296,2,0,1,0,IT,medium,India
377,0.44,0.56,2,158,3,0,1,0,accounting,medium,India
378,0.31,0.56,4,238,2,0,1,0,accounting,medium,Colombia
379,0.77,0.93,4,231,5,0,1,0,hr,medium,Reino Unido
380,0.44,0.45,2,156,3,0,1,0,hr,medium,India
381,0.38,0.46,2,145,3,0,1,0,hr,medium,India
382,0.45,0.48,2,144,3,0,1,0,marketing,medium,Reino Unido
383,0.38,0.51,2,159,3,0,1,0,sales,medium,Reino Unido
384,0.36,0.48,2,156,3,0,1,0,accounting,high,Reino Unido
385,0.75,0.9,5,256,5,0,1,0,support,low,Reino Unido
386,0.1,0.93,6,298,4,0,1,0,technical,medium,Reino Unido
387,0.1,0.97,6,247,4,0,1,0,management,medium,Colombia
388,0.45,0.5,2,157,3,0,1,0,marketing,medium,Reino Unido
389,0.42,0.57,2,154,3,1,1,0,marketing,medium,Reino Unido
390,0.78,1.0,4,253,5,0,1,0,marketing,low,Colombia
391,0.45,0.55,2,148,3,0,1,0,sales,low,India
392,0.84,1.0,4,261,5,0,1,0,sales,low,Reino Unido
393,0.11,0.93,6,282,4,0,1,0,sales,low,India
394,0.42,0.56,2,133,3,0,1,0,sales,low,Colombia
395,0.45,0.46,2,128,3,0,1,0,sales,low,Reino Unido
396,0.46,0.57,2,139,3,0,1,0,sales,low,Reino Unido
397,0.09,0.79,6,293,5,0,1,0,sales,low,Reino Unido
398,0.87,0.83,4,265,6,0,1,0,sales,low,Colombia
399,0.1,0.87,6,250,4,0,1,0,sales,low,India
400,0.91,1.0,5,251,6,0,1,0,sales,low,India
401,0.76,0.92,4,246,5,0,1,0,sales,low,Reino Unido
402,0.74,1.0,5,275,5,0,1,0,sales,low,Colombia
403,0.92,0.93,5,240,5,0,1,0,sales,low,Colombia
404,0.76,0.87,5,245,5,0,1,0,sales,low,Reino Unido
405,0.47,0.5,4,254,4,0,1,0,sales,low,India
406,0.73,0.99,5,241,5,0,1,0,sales,low,India
407,0.09,0.94,6,257,4,0,1,0,sales,low,India
408,0.91,0.92,4,246,5,0,1,0,sales,low,Reino Unido
409,0.82,0.98,4,233,5,0,1,0,sales,low,Reino Unido
410,0.28,0.45,6,218,4,0,1,0,accounting,low,Colombia
411,0.84,0.99,4,262,6,0,1,0,accounting,medium,Colombia
412,0.45,0.53,2,138,3,0,1,0,accounting,medium,Reino Unido
413,0.45,0.54,2,142,3,0,1,0,hr,medium,Colombia
414,0.91,0.97,5,233,5,0,1,0,hr,medium,Reino Unido
415,0.42,0.48,2,155,3,0,1,0,hr,medium,Colombia
416,0.82,1.0,4,229,6,0,1,0,hr,medium,Colombia
417,0.11,0.9,6,264,4,0,1,0,technical,medium,India
418,0.42,0.53,3,199,4,0,1,0,technical,medium,Reino Unido
419,0.82,0.85,4,223,5,0,1,0,technical,medium,Colombia
420,0.09,0.96,6,268,4,0,1,0,technical,medium,India
421,0.1,0.94,6,287,4,0,1,0,technical,medium,Reino Unido
422,0.86,1.0,5,257,5,0,1,0,technical,medium,Reino Unido
423,0.4,0.46,2,143,3,0,1,0,technical,high,Reino Unido
424,0.45,0.46,2,130,3,0,1,0,technical,low,Reino Unido
425,0.42,0.51,2,136,3,0,1,0,technical,medium,Reino Unido
426,0.74,0.92,4,261,5,0,1,0,technical,medium,Reino Unido
427,0.55,0.6,3,180,4,0,1,0,technical,medium,Colombia
428,0.37,0.45,2,126,3,0,1,0,support,medium,India
429,0.41,0.52,2,127,3,1,1,0,support,low,Colombia
430,0.89,0.65,5,195,6,0,1,0,support,low,Colombia
431,0.41,0.57,2,160,3,0,1,0,support,low,Reino Unido
